INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION,Penal Law OFFENSE,CLASS,CODE,DAYS_SINCE_ADMISSION
20214805,07/08/2021 03:18:55 PM,,MED,N,B,M,23.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,143
92294,07/08/2021 04:29:09 PM,,MED,N,B,M,35.0,DE,N,Y,125.25,N,Murder in the second degree,A-I Felony,125.25,143
20209266,07/08/2021 06:05:59 PM,,MAX,N,B,M,20.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,143
20112145,07/08/2021 07:25:00 PM,,MED,N,B,M,28.0,DE,N,Y,110-125.25,N,,,,143
20214809,07/08/2021 09:08:29 PM,,MAX,N,B,M,18.0,DE,N,Y,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,143
20214173,07/08/2021 10:42:00 PM,,MED,N,W,M,32.0,DE,N,N,140.25,Y,Burglary in the second degree,C Violent Felony,140.25,143
20155017,07/09/2020 11:53:34 PM,,MAX,Y,B,M,23.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,507
129277,07/09/2020 12:55:13 PM,,MAX,Y,B,M,31.0,DE,N,Y,135.25,Y,Kidnapping in the first degree,A-I Felony,135.25,507
20186833,07/09/2020 12:58:53 PM,,MAX,Y,B,M,25.0,DE,N,N,130.35,Y,Rape in the first degree,B Violent Felony,130.35,507
20031255,07/09/2021 01:03:30 PM,,MIN,Y,W,M,46.0,DE,N,N,140.20,N,Burglary in the third degree,D Felony,140.20,142
11751,07/09/2021 01:05:25 PM,,MED,N,B,M,42.0,DE,N,N,125.25,N,Murder in the second degree,A-I Felony,125.25,142
136825,07/09/2021 01:10:27 PM,,MAX,Y,W,M,42.0,DE,N,N,120.05,Y,Assault in the second degree,D Violent Felony,120.05,142
20149865,07/09/2021 03:35:45 PM,,MAX,Y,O,F,38.0,DE,N,N,110-125.25,Y,,,,142
46459,07/09/2021 04:08:06 PM,,MED,N,O,M,60.0,DE,N,Y,110-125.25,Y,,,,142
1398,07/09/2021 04:38:52 PM,,MAX,Y,B,M,37.0,DEP,N,N,220.16,Y,Criminal possession of a controlled substance in the third degree,B Felony,220.16,142
20024378,07/09/2021 05:12:40 PM,,MED,N,B,M,40.0,DE,N,N,140.25,N,Burglary in the second degree,C Violent Felony,140.25,142
20214823,07/09/2021 05:45:32 PM,,MIN,Y,B,M,34.0,DE,N,N,160.05,N,Robbery in the third degree,D Felony,160.05,142
42021,07/09/2021 05:47:48 PM,,MAX,Y,O,M,42.0,DE,N,N,110-160.05,Y,,,,142
104666,07/09/2021 06:11:14 PM,,MAX,Y,O,M,32.0,DE,N,N,110-160.15,Y,,,,142
20210924,07/09/2021 08:13:09 PM,,MIN,N,B,M,25.0,DE,N,N,,Y,,,,142
20214813,07/09/2021 12:18:50 AM,,MIN,Y,O,M,40.0,DE,N,N,155.25,N,Petit larceny,A Misdemeanor,155.25,142
20155256,07/09/2021 12:19:00 AM,,MAX,Y,O,M,26.0,DE,N,Y,130.35,N,Rape in the first degree,B Violent Felony,130.35,142
20114690,07/09/2021 12:22:39 AM,,MAX,N,B,M,27.0,DE,N,Y,215.52,Y,Aggravated criminal contempt,D Felony,215.52,142
20214819,07/09/2021 12:53:46 PM,,MIN,N,A,M,58.0,DE,N,N,110-125.25,N,,,,142
20205586,07/10/2019 01:27:00 PM,,MAX,Y,B,F,23.0,DE,N,N,125.20,Y,Manslaughter in the first degree,B Violent Felony,125.20,872
20205597,07/10/2019 06:13:50 PM,,MAX,Y,B,M,20.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,872
20022853,07/10/2019 08:16:24 PM,,MAX,N,W,M,34.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,872
20176270,07/10/2019 10:25:38 PM,,MED,Y,W,M,54.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,872
20081514,07/10/2019 12:03:07 AM,,MAX,N,O,M,27.0,DE,N,Y,265.09,Y,Criminal use of a firearm in the first degree,B Violent Felony,265.09,872
20210475,07/10/2020 03:58:54 PM,,MIN,N,O,M,43.0,DE,N,N,220.43,N,Criminal sale of a controlled substance in the first degree,A-I Felony,220.43,506
20210481,07/10/2020 09:07:24 PM,,MED,N,B,M,45.0,DE,N,N,125.25,N,Murder in the second degree,A-I Felony,125.25,506
